id_do_respondente,preocupação_com_h1n1,conhecimento_sobre_h1n1,comportamento_medicamentos_antivirais,comportamento_evitamento,comportamento_uso_de_máscara_facial,comportamento_lavagem_das_mãos,comportamento_reuniões_grandes,comportamento_saída_de_casa,comportamento_toque_na_face,recomendação_médica_h1n1,recomendação_médica_sazonal,condição_médica_crônica,criança_menor_de_6_meses,trabalhador_de_saúde,seguro_de_saúde,opinião_sobre_a_efetividade_da_vacina_h1n1,opinião_sobre_o_risco_h1n1,opinião_sobre_a_doença_por_vacinação_h1n1,opinião_sobre_a_efetividade_da_vacina_sazonal,opinião_sobre_o_risco_sazonal,opinião_sobre_a_doença_por_vacinação_sazonal,adultos_no_agregado_familiar,crianças_no_agregado_familiar,vacina_h1n1,vacina_sazonal,seguro_de_saúde,indústria_de_emprego,ocupação
1923,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,,4.0,4.0,2.0,4.0,5.0,4.0,2.0,0.0,0,1,,mcubkhph,oijqvulv
1924,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,0,0,1.0,saaquncn,dlvbwzss
1925,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,4.0,4.0,4.0,5.0,4.0,2.0,0.0,0.0,0,1,,fcxhlnwr,cmhcxjea
1926,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,0.0,0.0,1,1,1.0,fcxhlnwr,ukymxvdu
1927,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,4.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,0,0,,mfikgejo,hfxkjkmi
1928,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,1.0,0.0,1,1,1.0,fcxhlnwr,haliazsg
1929,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0,0,1.0,vjjrobsf,bxpfxfdn
1930,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,2.0,0.0,0,0,1.0,mfikgejo,xgwztkwe
1931,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,0.0,0,1,1.0,atmlpfrs,xqwwgdyp
1932,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,0,0,1.0,,
1933,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,5.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,0,1,,,
1934,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,1.0,1.0,0.0,1,1,1.0,fcxhlnwr,cmhcxjea
1935,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0,1,1.0,atmlpfrs,hodpvpew
1936,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0,0,1,1.0,,
1937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0,0,0.0,pxcmvdjn,
1938,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,5.0,4.0,2.0,4.0,0.0,0.0,0,1,,,
1939,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,1,1,,wxleyezf,mxkfnird
1940,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,0.0,2.0,0,0,1.0,xqicxuve,uqqtjvyb
1941,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,3.0,4.0,2.0,4.0,1.0,2.0,0.0,0.0,0,1,,,
1942,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,5.0,5.0,4.0,0.0,0.0,1,1,,nduyfdeo,hodpvpew
1943,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,4.0,2.0,4.0,4.0,2.0,2.0,1.0,0.0,1,0,,haxffmxo,dcjcmpih
1944,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,5.0,5.0,1.0,5.0,5.0,1.0,3.0,1.0,1,1,,,
1945,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0,0,1.0,,
1946,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,1,1,1.0,,
1947,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,1.0,3.0,0,1,1.0,,
1948,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,5.0,4.0,1.0,4.0,4.0,0.0,3.0,0,0,,,
1949,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1.0,0,0,,,
1950,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,0.0,0,0,1.0,,
1951,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,5.0,5.0,4.0,1.0,2.0,0,1,1.0,pxcmvdjn,cmhcxjea
1952,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0,1,1.0,wxleyezf,emcorrxb
1953,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,0,0,,,
1954,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,,4.0,4.0,4.0,5.0,4.0,1.0,1.0,3.0,0,0,,,
1955,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,5.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,0,1,,xqicxuve,rcertsgn
1956,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1,1,1.0,cfqqtusy,ukymxvdu
1957,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,5.0,4.0,5.0,5.0,3.0,0.0,1,1,,wxleyezf,emcorrxb
1958,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,2.0,5.0,5.0,2.0,1.0,0.0,1,1,1.0,vjjrobsf,bxpfxfdn
1959,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,0,0,1.0,xicduogh,xtkaffoo
1960,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,0.0,1,1,1.0,,
1961,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,2.0,1.0,1,0,1.0,wxleyezf,emcorrxb
1962,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,4.0,5.0,4.0,1.0,1.0,0.0,0,1,,pxcmvdjn,xgwztkwe
1963,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,0,1,1.0,,
1964,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1,0,1.0,,
1965,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,2.0,4.0,4.0,2.0,1.0,0.0,0,0,,,
1966,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,5.0,4.0,2.0,0.0,0.0,0,0,1.0,,
1967,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,5.0,2.0,1.0,5.0,4.0,1.0,1.0,0.0,0,0,,fcxhlnwr,bxpfxfdn
1968,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,5.0,1.0,2.0,4.0,2.0,4.0,0.0,0.0,0,1,,,
1969,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,0,0,0.0,nduyfdeo,pvmttkik
1970,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,4.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,0,1,,,
1971,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,5.0,5.0,2.0,1.0,1.0,0.0,0,1,,,
1972,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,0.0,0,0,0.0,vjjrobsf,uqqtjvyb
1973,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0,0,1.0,pxcmvdjn,xgwztkwe
1974,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,5.0,5.0,5.0,3.0,4.0,1.0,1.0,0.0,1,0,,fcxhlnwr,mxkfnird
1975,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,1,1,1.0,,
1976,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,4.0,4.0,2.0,4.0,1.0,0.0,0,0,,wxleyezf,mxkfnird
1977,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,0,1.0,phxvnwax,xqwwgdyp
1978,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,0,0,1.0,,
1979,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,5.0,5.0,2.0,5.0,0.0,0.0,0,0,,atmlpfrs,ccgxvspp
1980,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,1.0,5.0,4.0,2.0,1.0,0.0,0,1,,xicduogh,qxajmpny
1981,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,,4.0,2.0,1.0,5.0,4.0,4.0,1.0,0.0,0,1,,xqicxuve,oijqvulv
1982,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,5.0,2.0,1.0,2.0,1.0,1,0,0.0,fcxhlnwr,mxkfnird
1983,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,4.0,5.0,4.0,5.0,1.0,0.0,0,1,,,
1984,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,3.0,3.0,4.0,3.0,5.0,3.0,2.0,0.0,0,1,,,
1985,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0,0,1.0,,
1986,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,1.0,0.0,0.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,0.0,1.0,1,1,1.0,,
1987,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,0.0,2.0,0,0,1.0,,
1988,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,4.0,5.0,5.0,4.0,5.0,4.0,,,1,1,,,
1989,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,1,1,1.0,,
1990,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,0.0,1,1,1.0,fcxhlnwr,cmhcxjea
1991,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,2.0,4.0,4.0,2.0,4.0,2.0,1.0,0.0,0,0,,,
1992,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0,1,1,1.0,,
1993,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,0,0,,ldnlellj,xzmlyyjv
1994,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,5.0,5.0,1.0,1.0,2.0,1,1,1.0,fcxhlnwr,cmhcxjea
1995,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,5.0,1.0,1.0,4.0,4.0,2.0,1.0,0.0,0,1,,,
1996,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,5.0,4.0,0.0,0.0,0,1,1.0,,
1997,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,5.0,4.0,2.0,1.0,0.0,1,1,1.0,,
1998,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0,0,1.0,,
1999,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,0,1,1.0,wxleyezf,bxpfxfdn
2000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,,3.0,2.0,1.0,5.0,4.0,1.0,1.0,0.0,0,1,,fcxhlnwr,oijqvulv
2001,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,5.0,0.0,0.0,0,0,1.0,xicduogh,hfxkjkmi
2002,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,4.0,5.0,4.0,4.0,1.0,0.0,0,1,1.0,,
2003,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,1.0,,
2004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,0,0,,ldnlellj,ccgxvspp
2005,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,0.0,0,0,1.0,dotnnunm,xgwztkwe
2006,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,2.0,1.0,5.0,2.0,1.0,1.0,3.0,0,1,,saaquncn,xtkaffoo
2007,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,0,1,,atmlpfrs,
2008,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,5.0,2.0,2.0,5.0,2.0,2.0,1.0,0.0,0,1,,fcxhlnwr,cmhcxjea
2009,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,5.0,4.0,1.0,1.0,0.0,0,1,1.0,,
2010,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,3.0,0,1,1.0,xqicxuve,kldqjyjy
2011,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,4.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,0,1,,atmlpfrs,xqwwgdyp
2012,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,5.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,0,1,,,
2013,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0,0,,xicduogh,qxajmpny
2014,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,4.0,4.0,1.0,2.0,0.0,1,1,1.0,wxleyezf,emcorrxb
2015,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,5.0,5.0,1.0,1.0,0.0,0,1,,ldnlellj,ukymxvdu
2016,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0,1,1.0,,
2017,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,5.0,2.0,4.0,4.0,4.0,1.0,1.0,0,1,,wxleyezf,emcorrxb
2018,0.0,2.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,0,0,1.0,,
2019,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,0.0,0,0,1.0,wxleyezf,emcorrxb
2020,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,0,0,,,
2021,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,5.0,2.0,2.0,1.0,0.0,1,1,0.0,,
2022,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,0,0,,,
2023,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0,0,,,
2024,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,4.0,1.0,2.0,4.0,4.0,4.0,0.0,2.0,0,0,,arjwrbjb,ukymxvdu
2025,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,2.0,4.0,1.0,3.0,0.0,1,1,1.0,,
2026,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0,1,1.0,,
2027,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0,0,,fcxhlnwr,cmhcxjea
2028,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,5.0,2.0,4.0,1.0,2.0,0,0,1.0,wlfvacwt,xgwztkwe
2029,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,0,1,1.0,ldnlellj,hfxkjkmi
2030,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,2.0,5.0,2.0,2.0,1.0,1,1,1.0,fcxhlnwr,cmhcxjea
2031,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1,1,1.0,haxffmxo,dcjcmpih
2032,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,4.0,2.0,2.0,5.0,4.0,1.0,1.0,0.0,0,1,,,
2033,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0,0,1.0,,
2034,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0,0,,saaquncn,xtkaffoo
2035,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,5.0,1.0,2.0,5.0,3.0,2.0,0.0,0.0,0,1,,,
2036,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,0,1,1.0,wxleyezf,xtkaffoo
2037,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,5.0,4.0,4.0,0.0,0.0,0,1,1.0,xqicxuve,mxkfnird
2038,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,5.0,2.0,5.0,0.0,0.0,1,1,1.0,fcxhlnwr,cmhcxjea
2039,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,0,1.0,xqicxuve,rcertsgn
2040,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,4.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0,0,,pxcmvdjn,xgwztkwe
2041,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,0.0,0,0,1.0,fcxhlnwr,mxkfnird
2042,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,0,1,1.0,,
2043,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,5.0,4.0,5.0,5.0,1.0,2.0,2.0,0,1,,wxleyezf,cmhcxjea
2044,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,0,0,1.0,,
2045,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,1.0,0.0,0,0,1.0,,
2046,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,3.0,3.0,1.0,3.0,3.0,4.0,1.0,0.0,0,0,,wxleyezf,ukymxvdu
